title,authors,description,published_date
Debates in the Digital Humanities 2016,"Matthew K. Gold,Lauren F. Klein","Pairing full-length scholarly essays with shorter pieces drawn from scholarly blogs and conference presentations, as well as commissioned interviews and position statements, Debates in the Digital Humanities 2016 reveals a dynamic view of a field in negotiation with its identity, methods, and reach. Pieces in the book explore how DH can and must change in response to social justice movements and events like #Ferguson; how DH alters and is altered by community college classrooms; and how scholars applying DH approaches to feminist studies, queer studies, and black studies might reframe the commitments of DH analysts. Numerous contributors examine the movement of interdisciplinary DH work into areas such as history, art history, and archaeology, and a special forum on large-scale text mining brings together position statements on a fast-growing area of DH research. In the multivalent aspects of its arguments, progressing across a range of platforms and environments, Debates in the Digital Humanities 2016 offers a vision of DH as an expanded field—new possibilities, differently structured. Published simultaneously in print, e-book, and interactive webtext formats, each DH annual will be a book-length publication highlighting the particular debates that have shaped the discipline in a given year. By identifying key issues as they unfold, and by providing a hybrid model of open-access publication, these volumes and the Debates in the Digital Humanities series will articulate the present contours of the field and help forge its future. Contributors: Moya Bailey, Northeastern U; Fiona Barnett; Matthew Battles, Harvard U; Jeffrey M. Binder; Zach Blas, U of London; Cameron Blevins, Rutgers U; Sheila A. Brennan, George Mason U; Timothy Burke, Swarthmore College; Rachel Sagner Buurma, Swarthmore College; Micha Cárdenas, U of Washington–Bothell; Wendy Hui Kyong Chun, Brown U; Tanya E. Clement, U of Texas–Austin; Anne Cong-Huyen, Whittier College; Ryan Cordell, Northeastern U; Tressie McMillan Cottom, Virginia Commonwealth U; Amy E. Earhart, Texas A&M U; Domenico Fiormonte, U of Roma Tre; Paul Fyfe, North Carolina State U; Jacob Gaboury, Stony Brook U; Kim Gallon, Purdue U; Alex Gil, Columbia U; Brian Greenspan, Carleton U; Richard Grusin, U of Wisconsin, Milwaukee; Michael Hancher, U of Minnesota; Molly O’Hagan Hardy; David L. Hoover, New York U; Wendy F. Hsu; Patrick Jagoda, U of Chicago; Jessica Marie Johnson, Michigan State U; Steven E. Jones, Loyola U; Margaret Linley, Simon Fraser U; Alan Liu, U of California, Santa Barbara; Elizabeth Losh, U of California, San Diego; Alexis Lothian, U of Maryland; Michael Maizels, Wellesley College; Mark C. Marino, U of Southern California; Anne B. McGrail, Lane Community College; Bethany Nowviskie, U of Virginia; Julianne Nyhan, U College London; Amanda Phillips, U of California, Davis; Miriam Posner, U of California, Los Angeles; Rita Raley, U of California, Santa Barbara; Stephen Ramsay, U of Nebraska–Lincoln; Margaret Rhee, U of Oregon; Lisa Marie Rhody, Graduate Center, CUNY; Roopika Risam, Salem State U; Stephen Robertson, George Mason U; Mark Sample, Davidson College; Jentery Sayers, U of Victoria; Benjamin M. Schmidt, Northeastern U; Scott Selisker, U of Arizona; Jonathan Senchyne, U of Wisconsin, Madison; Andrew Stauffer, U of Virginia; Joanna Swafford, SUNY New Paltz; Toniesha L. Taylor, Prairie View A&M U; Dennis Tenen; Melissa Terras, U College London; Anna Tione; Ted Underwood, U of Illinois, Urbana–Champaign; Ethan Watrall, Michigan State U; Jacqueline Wernimont, Arizona State U; Laura Wexler, Yale U; Hong-An Wu, U of Illinois, Urbana–Champaign.",2016-05-18
The Emergence of the Digital Humanities,Steven E. Jones,"The past decade has seen a profound shift in our collective understanding of the digital network. What was once understood to be a transcendent virtual reality is now experienced as a ubiquitous grid of data that we move through and interact with every day, raising new questions about the social, locative, embodied, and object-oriented nature of our experience in the networked world. In The Emergence of the Digital Humanities, Steven E. Jones examines this shift in our relationship to digital technology and the ways that it has affected humanities scholarship and the academy more broadly. Based on the premise that the network is now everywhere rather than merely ""out there,"" Jones links together seemingly disparate cultural events—the essential features of popular social media, the rise of motion-control gaming and mobile platforms, the controversy over the ""gamification"" of everyday life, the spatial turn, fabrication and 3D printing, and electronic publishing—and argues that cultural responses to changes in technology provide an essential context for understanding the emergence of the digital humanities as a new field of study in this millennium. The Open Access version of this book, available at https://doi.org/10.4324/9780203093085, has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 4.0 license.",2013-08-15
A Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth","This Companion offers a thorough, concise overview of the emerging field of humanities computing. Contains 37 original articles written by leaders in the field. Addresses the central concerns shared by those interested in the subject. Major sections focus on the experience of particular disciplines in applying computational methods to research problems; the basic principles of humanities computing; specific applications and methods; and production, dissemination and archiving. Accompanied by a website featuring supplementary materials, standard readings in the field and essays to be included in future editions of the Companion.",2008-03-03
Digital Samaritans,Jim Ridolfo,"Digital Samaritans explores rhetorical delivery and cultural sovereignty in the digital humanities. The exigence for the book is rooted in a practical digital humanities project based on the digitization of manuscripts in diaspora for the Samaritan community, the smallest religious/ethnic group of 770 Samaritans split between Mount Gerizim in the Palestinian Authority and in Holon, Israel. Based on interviews with members of the Samaritan community and archival research, Digital Samaritans explores what some Samaritans want from their diaspora of manuscripts, and how their rhetorical goals and objectives relate to the contemporary existential and rhetorical situation of the Samaritans as a living, breathing people. How does the circulation of Samaritan manuscripts, especially in digital environments, relate to their rhetorical circumstances and future goals and objectives to communicate their unique cultural history and religious identity to their neighbors and the world? Digital Samaritans takes up these questions and more as it presents a case for collaboration and engaged scholarship situated at the intersection of rhetorical studies and the digital humanities.",2015-09-16
Digital Humanities in Latin America,"Héctor Fernández L’Hoeste,Juan Carlos Rodríguez","A hemispheric view of the practice of digital humanities in the Spanish- and Portuguese-speaking Americas As digital media and technologies transform the study of the humanities around the world, this volume provides the first hemispheric view of the practice of digital humanities in the Spanish- and Portuguese-speaking Americas. These essays examine how participation and research in new media have helped configure identities and collectivities in the region. Featuring case studies from throughout Latin America, including the United States Latinx community, contributors analyze documentary films, television series, and social media to show how digital technologies create hybrid virtual spaces and facilitate connections across borders. They investigate how Latinx bloggers and online activists navigate governmental restrictions in order to connect with the global online community. These essays also incorporate perspectives of race, gender, and class that challenge the assumption that technology is a democratizing force. Digital Humanities in Latin America illuminates the cultural, political, and social implications of the ways Latinx communities engage with new technologies. In doing so, it connects digital humanities research taking place in Latin America with that of the Anglophone world. Contributors: Paul Alonso | Morgan Ames | Eduard Arriaga | Anita Say Chan | Ricardo Dominguez | Orlando Luis Pardo Lazo | Héctor Fernández L’Hoeste | Jennifer M. Lozano | Ana Lígia Silva Medeiros | Gimena del Río Riande | Juan Carlos Rodríguez | Isabel Galina Russell | Angharad Valdivia | Anastasia Valecce | Cristina Venegas A volume in the series Reframing Media, Technology, and Culture in Latin/o America, edited by Héctor Fernández L’Hoeste and Juan Carlos Rodríguez",2023-05-02
Documentary Making for Digital Humanists,"Darren R. Reid,Brett Sanders","This fluent and comprehensive field guide responds to increased interest, across the humanities, in the ways in which digital technologies can disrupt and open up new research and pedagogical avenues. It is designed to help scholars and students engage with their subjects using an audio-visual grammar, and to allow readers to efficiently gain the technical and theoretical skills necessary to create and disseminate their own trans-media projects. Documentary Making for Digital Humanists sets out the fundamentals of filmmaking, explores academic discourse on digital documentaries and online distribution, and considers the place of this discourse in the evolving academic landscape. The book walks its readers through the intellectual and practical processes of creating digital media and documentary projects. It is further equipped with video elements, supplementing specific chapters and providing brief and accessible introductions to the key components of the filmmaking process. This will be a valuable resource to humanist scholars and students seeking to embrace new media production and the digital landscape, and to those researchers interested in using means beyond the written word to disseminate their work. It constitutes a welcome contribution to the burgeoning field of digital humanities, as the first practical guide of its kind designed to facilitate humanist interactions with digital filmmaking, and to empower scholars and students alike to create and distribute new media audio-visual artefacts.",2021-11-02
Digital Humanities and New Ways of Teaching,Anna Wing-bo Tso,"This volume includes a variety of first-hand case studies, critical analyses, action research and reflective practice in the digital humanities which ranges from digital literature, library science, online games, museum studies, information literacy to corpus linguistics in the 21st century. It informs readers of the latest developments in the digital humanities and their influence on learning and teaching. With the growing advancement of digital technology, humanistic inquiries have expanded and transformed in unfathomable complexity as new content is being rapidly created. The emergence of electronic archiving, digital scholarship, digitized pedagogy, textual digitization and software creation has brought about huge impacts on both humanities subjects and the university curricula in terms of nature, scope and design. This volume provides insights into what these technological changes mean for all the stakeholders involved and for the ways in which humanities subjects are understood. Part 1 of this volume begins with a broad perspective on digital humanities and discusses the current status of the field in Asia, Canada and Europe. Then, with a special focus on new literacies, educational implications, and innovative research in the digital humanities, Parts 2-4 explore how digital technology revolutionizes art forms, curricula, and pedagogy, revealing the current practices and latest trends in the digital humanities. Written by experts and researchers across Asia, Australia, Canada and Europe, this volume brings global insights into the digital humanities, particularly in the education aspect. It is of interest to researchers and students of cultural studies, literature, education, and technology studies. The strongest point of this collection of work is that, it brings important concepts to the study of digital literacies, for example, looking at it from the perspective of new literacies, languages and education. Daniel Churchill, Associate Professor, Faculty of Education, The University of Hong Kong With a rapidly growing advancement in digital tools, this book has made a relevant contribution by informing readers what the latest development of these tools are, and discusses how they can aid research, libraries, education and even poets across different continents. Samuel Kai-wah Chu, Associate Professor, Faculty of Education, The University of Hong Kong",2019-01-10
Understanding Digital Humanities,D. Berry,"Confronting the digital revolution in academia, this book examines the application of new computational techniques and visualisation technologies in the Arts & Humanities. Uniting differing perspectives, leading and emerging scholars discuss the theoretical and practical challenges that computation raises for these disciplines.",2012-02-07
Breaking the Book,Laura Mandell,"Breaking the Book is a manifesto on the cognitive consequences and emotional effects of human interactions with physical books that reveals why the traditional humanities disciplines are resistant to 'digital' humanities. Explores the reasons why the traditional humanities disciplines are resistant to 'digital humanities' Reveals facets of book history, offering it as an example of how different media shape our modes of thinking and feeling Gathers together the most important book history and literary criticism concerning the hundred years leading up to the early 19th-century emergence of mass print culture Predicts effects of the digital revolution on disciplinarity, expertise, and the institutional restructuring of the humanities",2015-06-15
The Digital Humanities and the Digital Modern,James Smithies,"This book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis. Informed by the history of technology and culture and new perspectives on modernity, Smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self. The distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in. By framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity. This requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods. The book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities.",2017-08-28
